2025-09-01 23:39:27,216 - ProximalNewtonLBFGS: lam=80, memory=5, n_grid=200, basis_order=0, n_samples=3200, K=3201
2025-09-01 23:41:47,361 - Iter 4780: obj=-4588.938867, change=3.94e-06, α=1.000, ‖θ[1:]‖₁=9.846, γ=383658.804, num_knots=84
2025-09-01 23:41:47,687 - Iter 4790: obj=-4588.939814, change=5.20e-06, α=1.000, ‖θ[1:]‖₁=9.846, γ=287535.772, num_knots=84
2025-09-01 23:41:48,012 - Iter 4800: obj=-4588.941152, change=8.07e-06, α=1.000, ‖θ[1:]‖₁=9.846, γ=180692.035, num_knots=84
2025-09-01 23:41:48,347 - Iter 4810: obj=-4588.943612, change=1.90e-05, α=1.000, ‖θ[1:]‖₁=9.846, γ=70990.577, num_knots=84
2025-09-01 23:41:48,666 - Iter 4820: obj=-4588.954836, change=1.34e-04, α=1.000, ‖θ[1:]‖₁=9.846, γ=10842.757, num_knots=84
2025-09-01 23:41:49,024 - Iter 4830: obj=-4588.978368, change=2.50e-05, α=1.000, ‖θ[1:]‖₁=9.847, γ=52091.455, num_knots=83
2025-09-01 23:41:49,382 - Iter 4840: obj=-4588.992239, change=1.35e-04, α=1.000, ‖θ[1:]‖₁=9.847, γ=10082.514, num_knots=83
2025-09-01 23:41:49,703 - Iter 4850: obj=-4589.034809, change=2.72e-04, α=1.000, ‖θ[1:]‖₁=9.848, γ=5417.170, num_knots=83
2025-09-01 23:41:50,046 - Iter 4860: obj=-4589.079472, change=1.70e-05, α=1.000, ‖θ[1:]‖₁=9.848, γ=79852.163, num_knots=82
2025-09-01 23:41:50,385 - Iter 4870: obj=-4589.088722, change=1.68e-04, α=1.000, ‖θ[1:]‖₁=9.848, γ=6506.622, num_knots=82
2025-09-01 23:41:50,710 - Iter 4880: obj=-4589.162462, change=5.50e-04, α=1.000, ‖θ[1:]‖₁=9.848, γ=2614.152, num_knots=82
2025-09-01 23:41:51,152 - Iter 4890: obj=-4589.200044, change=1.57e-05, α=1.000, ‖θ[1:]‖₁=9.849, γ=86847.262, num_knots=81
2025-09-01 23:41:51,494 - Iter 4900: obj=-4589.207809, change=1.44e-04, α=1.000, ‖θ[1:]‖₁=9.849, γ=6736.026, num_knots=81
2025-09-01 23:41:51,884 - Iter 4910: obj=-4589.306615, change=2.51e-05, α=1.000, ‖θ[1:]‖₁=9.849, γ=2208.547, num_knots=81
2025-09-01 23:41:52,180 - Iter 4920: obj=-4589.374074, change=1.59e-07, α=0.100, ‖θ[1:]‖₁=9.849, γ=829305.161, num_knots=80
2025-09-01 23:41:52,410 - Iter 4930: obj=-4589.374108, change=1.60e-07, α=0.100, ‖θ[1:]‖₁=9.849, γ=827156.836, num_knots=80
2025-09-01 23:41:52,606 - Iter 4940: obj=-4589.374141, change=1.60e-07, α=0.100, ‖θ[1:]‖₁=9.849, γ=824975.613, num_knots=80
2025-09-01 23:41:52,824 - Iter 4950: obj=-4589.374175, change=1.61e-07, α=0.100, ‖θ[1:]‖₁=9.849, γ=822761.912, num_knots=80
2025-09-01 23:41:53,039 - Iter 4960: obj=-4589.374208, change=1.61e-07, α=0.100, ‖θ[1:]‖₁=9.849, γ=820514.382, num_knots=80
2025-09-01 23:41:53,223 - Iter 4970: obj=-4589.374242, change=1.62e-07, α=0.100, ‖θ[1:]‖₁=9.849, γ=818233.098, num_knots=80
2025-09-01 23:41:53,437 - Iter 4980: obj=-4589.374276, change=1.62e-07, α=0.100, ‖θ[1:]‖₁=9.849, γ=815917.416, num_knots=80
2025-09-01 23:41:53,640 - Iter 4990: obj=-4589.374310, change=1.63e-07, α=0.100, ‖θ[1:]‖₁=9.849, γ=813566.692, num_knots=80
2025-09-01 23:41:53,839 - Iter 5000: obj=-4589.374344, change=1.63e-07, α=0.100, ‖θ[1:]‖₁=9.849, γ=811180.860, num_knots=80
2025-09-01 23:41:53,840 - Final: selected_knots=80, iterations=5000
