2025-09-02 19:55:53,017 - ProximalNewtonLBFGS: lam=5e-05, memory=5, n_grid=200, basis_order=2, n_samples=3200, K=3203
2025-09-02 19:58:01,377 - Iter 3800: obj=-5357.042501, change=1.29e-05, α=1.000, ‖θ[1:]‖₁=34183.559, γ=144.291, num_knots=3177
2025-09-02 19:58:04,798 - Iter 3900: obj=-5357.043361, change=1.29e-05, α=1.000, ‖θ[1:]‖₁=34184.652, γ=144.291, num_knots=3177
2025-09-02 19:58:08,047 - Iter 4000: obj=-5357.044221, change=1.29e-05, α=1.000, ‖θ[1:]‖₁=34185.745, γ=144.291, num_knots=3177
2025-09-02 19:58:11,229 - Iter 4100: obj=-5357.045081, change=1.29e-05, α=1.000, ‖θ[1:]‖₁=34186.839, γ=144.291, num_knots=3177
2025-09-02 19:58:14,510 - Iter 4200: obj=-5357.045942, change=1.29e-05, α=1.000, ‖θ[1:]‖₁=34187.932, γ=144.291, num_knots=3177
2025-09-02 19:58:17,795 - Iter 4300: obj=-5357.046802, change=1.29e-05, α=1.000, ‖θ[1:]‖₁=34189.025, γ=144.291, num_knots=3177
2025-09-02 19:58:20,970 - Iter 4400: obj=-5357.047662, change=1.29e-05, α=1.000, ‖θ[1:]‖₁=34190.119, γ=144.291, num_knots=3177
2025-09-02 19:58:24,248 - Iter 4500: obj=-5357.048522, change=1.29e-05, α=1.000, ‖θ[1:]‖₁=34191.212, γ=144.291, num_knots=3177
2025-09-02 19:58:27,524 - Iter 4600: obj=-5357.049382, change=1.29e-05, α=1.000, ‖θ[1:]‖₁=34192.305, γ=144.291, num_knots=3177
2025-09-02 19:58:30,699 - Iter 4700: obj=-5357.050242, change=1.29e-05, α=1.000, ‖θ[1:]‖₁=34193.399, γ=144.291, num_knots=3177
2025-09-02 19:58:34,013 - Iter 4800: obj=-5357.051103, change=1.29e-05, α=1.000, ‖θ[1:]‖₁=34194.492, γ=144.291, num_knots=3177
2025-09-02 19:58:37,395 - Iter 4900: obj=-5357.051963, change=1.29e-05, α=1.000, ‖θ[1:]‖₁=34195.585, γ=144.291, num_knots=3177
2025-09-02 19:58:40,555 - Iter 5000: obj=-5357.052823, change=1.29e-05, α=1.000, ‖θ[1:]‖₁=34196.678, γ=144.291, num_knots=3177
2025-09-02 19:58:43,780 - Iter 5100: obj=-5357.053683, change=1.29e-05, α=1.000, ‖θ[1:]‖₁=34197.771, γ=144.291, num_knots=3177
2025-09-02 19:58:47,030 - Iter 5200: obj=-5357.054543, change=1.29e-05, α=1.000, ‖θ[1:]‖₁=34198.865, γ=144.291, num_knots=3177
