2025-09-02 00:01:22,302 - ProximalAdaGrad: lam=80, alpha=3e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=0, n_samples=3200, K=3201
2025-09-02 00:01:26,295 - Iter 330: obj=-4516.488327, change=3.98e-04, α=0.000, ‖θ[1:]‖₁=8.967, h_range=[8.86e+00, 2.83e+01], num_knots=714
2025-09-02 00:01:26,413 - Iter 340: obj=-4517.731120, change=4.36e-04, α=0.000, ‖θ[1:]‖₁=8.978, h_range=[8.84e+00, 2.83e+01], num_knots=704
2025-09-02 00:01:26,533 - Iter 350: obj=-4518.912784, change=3.84e-04, α=0.000, ‖θ[1:]‖₁=8.989, h_range=[8.83e+00, 2.83e+01], num_knots=699
2025-09-02 00:01:26,655 - Iter 360: obj=-4520.035410, change=3.56e-04, α=0.000, ‖θ[1:]‖₁=8.999, h_range=[8.81e+00, 2.83e+01], num_knots=692
2025-09-02 00:01:26,754 - Iter 370: obj=-4521.102750, change=3.53e-04, α=0.000, ‖θ[1:]‖₁=9.009, h_range=[8.79e+00, 2.83e+01], num_knots=682
2025-09-02 00:01:26,862 - Iter 380: obj=-4522.117480, change=3.25e-04, α=0.000, ‖θ[1:]‖₁=9.019, h_range=[8.78e+00, 2.83e+01], num_knots=675
2025-09-02 00:01:26,975 - Iter 390: obj=-4523.090424, change=3.05e-04, α=0.000, ‖θ[1:]‖₁=9.028, h_range=[8.77e+00, 2.83e+01], num_knots=669
2025-09-02 00:01:27,087 - Iter 400: obj=-4524.016354, change=3.14e-04, α=0.000, ‖θ[1:]‖₁=9.037, h_range=[8.75e+00, 2.83e+01], num_knots=660
2025-09-02 00:01:27,231 - Iter 410: obj=-4524.907341, change=2.87e-04, α=0.000, ‖θ[1:]‖₁=9.045, h_range=[8.74e+00, 2.83e+01], num_knots=657
2025-09-02 00:01:27,334 - Iter 420: obj=-4525.761142, change=2.80e-04, α=0.000, ‖θ[1:]‖₁=9.053, h_range=[8.73e+00, 2.83e+01], num_knots=649
2025-09-02 00:01:27,437 - Iter 430: obj=-4526.582784, change=2.43e-04, α=0.000, ‖θ[1:]‖₁=9.061, h_range=[8.72e+00, 2.83e+01], num_knots=648
2025-09-02 00:01:27,558 - Iter 440: obj=-4527.372523, change=2.69e-04, α=0.000, ‖θ[1:]‖₁=9.068, h_range=[8.71e+00, 2.83e+01], num_knots=637
2025-09-02 00:01:27,648 - Iter 450: obj=-4528.132449, change=2.27e-04, α=0.000, ‖θ[1:]‖₁=9.075, h_range=[8.70e+00, 2.83e+01], num_knots=636
