2025-09-01 00:09:25,084 - ProximalAdaGrad: lam=0.75, alpha=5e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=1, n_samples=3200, K=3202
2025-09-01 00:09:53,102 - Iter 3300: obj=-112.762601, change=6.05e-06, α=0.000, ‖θ[1:]‖₁=10.310, h_range=[1.00e-08, 1.52e+01], num_knots=1823
2025-09-01 00:09:53,873 - Iter 3400: obj=-112.770954, change=6.02e-06, α=0.000, ‖θ[1:]‖₁=10.326, h_range=[1.00e-08, 1.52e+01], num_knots=1815
2025-09-01 00:09:54,700 - Iter 3500: obj=-112.779025, change=5.99e-06, α=0.000, ‖θ[1:]‖₁=10.340, h_range=[1.00e-08, 1.52e+01], num_knots=1810
2025-09-01 00:09:55,463 - Iter 3600: obj=-112.786806, change=5.95e-06, α=0.000, ‖θ[1:]‖₁=10.355, h_range=[1.00e-08, 1.52e+01], num_knots=1808
2025-09-01 00:09:56,236 - Iter 3700: obj=-112.794373, change=5.91e-06, α=0.000, ‖θ[1:]‖₁=10.368, h_range=[1.00e-08, 1.52e+01], num_knots=1803
2025-09-01 00:09:57,022 - Iter 3800: obj=-112.801692, change=5.66e-06, α=0.000, ‖θ[1:]‖₁=10.381, h_range=[1.00e-08, 1.52e+01], num_knots=1791
2025-09-01 00:09:57,922 - Iter 3900: obj=-112.808749, change=5.63e-06, α=0.000, ‖θ[1:]‖₁=10.395, h_range=[1.00e-08, 1.52e+01], num_knots=1784
2025-09-01 00:09:58,677 - Iter 4000: obj=-112.815536, change=5.06e-06, α=0.000, ‖θ[1:]‖₁=10.408, h_range=[1.00e-08, 1.52e+01], num_knots=1775
2025-09-01 00:09:59,447 - Iter 4100: obj=-112.822127, change=5.03e-06, α=0.000, ‖θ[1:]‖₁=10.421, h_range=[1.00e-08, 1.52e+01], num_knots=1760
2025-09-01 00:10:00,181 - Iter 4200: obj=-112.828524, change=4.99e-06, α=0.000, ‖θ[1:]‖₁=10.434, h_range=[1.00e-08, 1.52e+01], num_knots=1753
2025-09-01 00:10:00,978 - Iter 4300: obj=-112.834738, change=4.95e-06, α=0.000, ‖θ[1:]‖₁=10.446, h_range=[1.00e-08, 1.52e+01], num_knots=1739
2025-09-01 00:10:01,811 - Iter 4400: obj=-112.840735, change=4.57e-06, α=0.000, ‖θ[1:]‖₁=10.459, h_range=[1.00e-08, 1.52e+01], num_knots=1724
2025-09-01 00:10:02,562 - Iter 4500: obj=-112.846556, change=4.54e-06, α=0.000, ‖θ[1:]‖₁=10.470, h_range=[1.00e-08, 1.52e+01], num_knots=1720
2025-09-01 00:10:03,384 - Iter 4600: obj=-112.852220, change=4.50e-06, α=0.000, ‖θ[1:]‖₁=10.482, h_range=[1.00e-08, 1.52e+01], num_knots=1717
2025-09-01 00:10:04,167 - Iter 4700: obj=-112.857733, change=4.43e-06, α=0.000, ‖θ[1:]‖₁=10.493, h_range=[1.00e-08, 1.52e+01], num_knots=1713
2025-09-01 00:10:04,944 - Iter 4800: obj=-112.862940, change=3.85e-06, α=0.000, ‖θ[1:]‖₁=10.505, h_range=[1.00e-08, 1.52e+01], num_knots=1704
2025-09-01 00:10:05,704 - Iter 4900: obj=-112.867956, change=3.84e-06, α=0.000, ‖θ[1:]‖₁=10.518, h_range=[1.00e-08, 1.52e+01], num_knots=1700
2025-09-01 00:10:06,464 - Iter 5000: obj=-112.872834, change=3.83e-06, α=0.000, ‖θ[1:]‖₁=10.529, h_range=[1.00e-08, 1.52e+01], num_knots=1693
2025-09-01 00:10:07,186 - Iter 5100: obj=-112.877596, change=3.80e-06, α=0.000, ‖θ[1:]‖₁=10.540, h_range=[1.00e-08, 1.52e+01], num_knots=1686
