2025-09-01 00:27:15,104 - ProximalAdaGrad: lam=0.2, alpha=0.0001, eps=1e-08, rho=1.0, n_grid=200, basis_order=2, n_samples=3200, K=3203
2025-09-01 00:27:46,339 - Iter 3300: obj=-109.020774, change=2.38e-05, α=0.000, ‖θ[1:]‖₁=31.201, h_range=[1.00e-08, 1.52e+01], num_knots=1898
2025-09-01 00:27:47,248 - Iter 3400: obj=-109.050515, change=2.10e-05, α=0.000, ‖θ[1:]‖₁=31.369, h_range=[1.00e-08, 1.52e+01], num_knots=1882
2025-09-01 00:27:48,076 - Iter 3500: obj=-109.078933, change=2.14e-05, α=0.000, ‖θ[1:]‖₁=31.531, h_range=[1.00e-08, 1.52e+01], num_knots=1868
2025-09-01 00:27:49,076 - Iter 3600: obj=-109.106391, change=2.17e-05, α=0.000, ‖θ[1:]‖₁=31.682, h_range=[1.00e-08, 1.52e+01], num_knots=1861
2025-09-01 00:27:50,044 - Iter 3700: obj=-109.133134, change=2.20e-05, α=0.000, ‖θ[1:]‖₁=31.822, h_range=[1.00e-08, 1.52e+01], num_knots=1851
2025-09-01 00:27:50,918 - Iter 3800: obj=-109.159092, change=2.16e-05, α=0.000, ‖θ[1:]‖₁=31.954, h_range=[1.00e-08, 1.52e+01], num_knots=1844
2025-09-01 00:27:51,873 - Iter 3900: obj=-109.184252, change=2.14e-05, α=0.000, ‖θ[1:]‖₁=32.079, h_range=[1.00e-08, 1.52e+01], num_knots=1836
2025-09-01 00:27:52,845 - Iter 4000: obj=-109.208536, change=2.10e-05, α=0.000, ‖θ[1:]‖₁=32.199, h_range=[1.00e-08, 1.52e+01], num_knots=1827
2025-09-01 00:27:53,801 - Iter 4100: obj=-109.232014, change=2.04e-05, α=0.000, ‖θ[1:]‖₁=32.315, h_range=[1.00e-08, 1.52e+01], num_knots=1816
2025-09-01 00:27:54,769 - Iter 4200: obj=-109.254796, change=2.06e-05, α=0.000, ‖θ[1:]‖₁=32.425, h_range=[1.00e-08, 1.52e+01], num_knots=1805
2025-09-01 00:27:55,742 - Iter 4300: obj=-109.276860, change=2.01e-05, α=0.000, ‖θ[1:]‖₁=32.531, h_range=[1.00e-08, 1.52e+01], num_knots=1794
2025-09-01 00:27:56,684 - Iter 4400: obj=-109.298281, change=2.00e-05, α=0.000, ‖θ[1:]‖₁=32.632, h_range=[1.00e-08, 1.52e+01], num_knots=1784
2025-09-01 00:27:57,571 - Iter 4500: obj=-109.319003, change=1.91e-05, α=0.000, ‖θ[1:]‖₁=32.730, h_range=[1.00e-08, 1.52e+01], num_knots=1778
2025-09-01 00:27:58,412 - Iter 4600: obj=-109.339305, change=1.92e-05, α=0.000, ‖θ[1:]‖₁=32.821, h_range=[1.00e-08, 1.52e+01], num_knots=1767
2025-09-01 00:27:59,379 - Iter 4700: obj=-109.359097, change=1.87e-05, α=0.000, ‖θ[1:]‖₁=32.909, h_range=[1.00e-08, 1.52e+01], num_knots=1753
