2025-09-01 00:01:45,442 - ProximalAdaGrad: lam=25, alpha=1e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=0, n_samples=3200, K=3201
2025-09-01 00:02:18,808 - Iter 3300: obj=-116.140944, change=4.11e-06, α=0.000, ‖θ[1:]‖₁=0.718, h_range=[1.00e-08, 2.83e+01], num_knots=106
2025-09-01 00:02:19,934 - Iter 3400: obj=-116.183674, change=4.06e-06, α=0.000, ‖θ[1:]‖₁=0.718, h_range=[1.00e-08, 2.83e+01], num_knots=106
2025-09-01 00:02:20,849 - Iter 3500: obj=-116.226172, change=4.04e-06, α=0.000, ‖θ[1:]‖₁=0.719, h_range=[1.00e-08, 2.83e+01], num_knots=105
2025-09-01 00:02:21,773 - Iter 3600: obj=-116.266537, change=3.99e-06, α=0.000, ‖θ[1:]‖₁=0.719, h_range=[1.00e-08, 2.83e+01], num_knots=102
2025-09-01 00:02:22,963 - Iter 3700: obj=-116.305755, change=3.95e-06, α=0.000, ‖θ[1:]‖₁=0.720, h_range=[1.00e-08, 2.83e+01], num_knots=100
2025-09-01 00:02:23,922 - Iter 3800: obj=-116.344565, change=3.93e-06, α=0.000, ‖θ[1:]‖₁=0.720, h_range=[1.00e-08, 2.83e+01], num_knots=99
2025-09-01 00:02:24,903 - Iter 3900: obj=-116.382674, change=3.91e-06, α=0.000, ‖θ[1:]‖₁=0.721, h_range=[1.00e-08, 2.83e+01], num_knots=99
2025-09-01 00:02:25,854 - Iter 4000: obj=-116.418098, change=3.83e-06, α=0.000, ‖θ[1:]‖₁=0.721, h_range=[1.00e-08, 2.83e+01], num_knots=95
2025-09-01 00:02:26,830 - Iter 4100: obj=-116.451894, change=3.78e-06, α=0.000, ‖θ[1:]‖₁=0.722, h_range=[1.00e-08, 2.83e+01], num_knots=95
2025-09-01 00:02:27,812 - Iter 4200: obj=-116.484511, change=3.74e-06, α=0.000, ‖θ[1:]‖₁=0.722, h_range=[1.00e-08, 2.83e+01], num_knots=93
2025-09-01 00:02:28,709 - Iter 4300: obj=-116.515557, change=3.70e-06, α=0.000, ‖θ[1:]‖₁=0.722, h_range=[1.00e-08, 2.83e+01], num_knots=92
2025-09-01 00:02:29,884 - Iter 4400: obj=-116.546505, change=3.69e-06, α=0.000, ‖θ[1:]‖₁=0.723, h_range=[1.00e-08, 2.83e+01], num_knots=92
2025-09-01 00:02:30,843 - Iter 4500: obj=-116.576638, change=3.66e-06, α=0.000, ‖θ[1:]‖₁=0.723, h_range=[1.00e-08, 2.83e+01], num_knots=91
2025-09-01 00:02:31,760 - Iter 4600: obj=-116.606534, change=3.64e-06, α=0.000, ‖θ[1:]‖₁=0.723, h_range=[1.00e-08, 2.83e+01], num_knots=91
2025-09-01 00:02:32,732 - Iter 4700: obj=-116.636361, change=3.64e-06, α=0.000, ‖θ[1:]‖₁=0.724, h_range=[1.00e-08, 2.83e+01], num_knots=91
2025-09-01 00:02:33,738 - Iter 4800: obj=-116.665366, change=3.61e-06, α=0.000, ‖θ[1:]‖₁=0.724, h_range=[1.00e-08, 2.83e+01], num_knots=90
2025-09-01 00:02:34,679 - Iter 4900: obj=-116.692779, change=3.56e-06, α=0.000, ‖θ[1:]‖₁=0.724, h_range=[1.00e-08, 2.83e+01], num_knots=87
2025-09-01 00:02:35,654 - Iter 5000: obj=-116.719151, change=3.52e-06, α=0.000, ‖θ[1:]‖₁=0.725, h_range=[1.00e-08, 2.83e+01], num_knots=86
2025-09-01 00:02:36,555 - Iter 5100: obj=-116.744146, change=3.47e-06, α=0.000, ‖θ[1:]‖₁=0.725, h_range=[1.00e-08, 2.83e+01], num_knots=85
2025-09-01 00:02:37,489 - Iter 5200: obj=-116.768818, change=3.45e-06, α=0.000, ‖θ[1:]‖₁=0.725, h_range=[1.00e-08, 2.83e+01], num_knots=85
2025-09-01 00:02:38,345 - Iter 5300: obj=-116.793084, change=3.43e-06, α=0.000, ‖θ[1:]‖₁=0.726, h_range=[1.00e-08, 2.83e+01], num_knots=84
2025-09-01 00:02:39,417 - Iter 5400: obj=-116.816850, change=3.41e-06, α=0.000, ‖θ[1:]‖₁=0.726, h_range=[1.00e-08, 2.83e+01], num_knots=84
2025-09-01 00:02:40,816 - Iter 5500: obj=-116.840567, change=3.40e-06, α=0.000, ‖θ[1:]‖₁=0.726, h_range=[1.00e-08, 2.83e+01], num_knots=84
2025-09-01 00:02:42,445 - Iter 5600: obj=-116.864241, change=3.40e-06, α=0.000, ‖θ[1:]‖₁=0.726, h_range=[1.00e-08, 2.83e+01], num_knots=84
2025-09-01 00:02:43,758 - Iter 5700: obj=-116.887145, change=3.37e-06, α=0.000, ‖θ[1:]‖₁=0.727, h_range=[1.00e-08, 2.83e+01], num_knots=80
2025-09-01 00:02:45,305 - Iter 5800: obj=-116.909860, change=3.36e-06, α=0.000, ‖θ[1:]‖₁=0.727, h_range=[1.00e-08, 2.83e+01], num_knots=79
2025-09-01 00:02:46,560 - Iter 5900: obj=-116.931904, change=3.33e-06, α=0.000, ‖θ[1:]‖₁=0.727, h_range=[1.00e-08, 2.83e+01], num_knots=78
2025-09-01 00:02:47,934 - Iter 6000: obj=-116.953544, change=3.31e-06, α=0.000, ‖θ[1:]‖₁=0.727, h_range=[1.00e-08, 2.83e+01], num_knots=77
2025-09-01 00:02:49,083 - Iter 6100: obj=-116.974034, change=3.27e-06, α=0.000, ‖θ[1:]‖₁=0.728, h_range=[1.00e-08, 2.83e+01], num_knots=75
2025-09-01 00:02:50,129 - Iter 6200: obj=-116.993674, change=3.24e-06, α=0.000, ‖θ[1:]‖₁=0.728, h_range=[1.00e-08, 2.83e+01], num_knots=75
2025-09-01 00:02:51,237 - Iter 6300: obj=-117.013262, change=3.23e-06, α=0.000, ‖θ[1:]‖₁=0.728, h_range=[1.00e-08, 2.83e+01], num_knots=75
2025-09-01 00:02:52,322 - Iter 6400: obj=-117.032806, change=3.22e-06, α=0.000, ‖θ[1:]‖₁=0.729, h_range=[1.00e-08, 2.83e+01], num_knots=75
2025-09-01 00:02:53,556 - Iter 6500: obj=-117.052070, change=3.21e-06, α=0.000, ‖θ[1:]‖₁=0.729, h_range=[1.00e-08, 2.83e+01], num_knots=74
2025-09-01 00:02:54,606 - Iter 6600: obj=-117.071067, change=3.19e-06, α=0.000, ‖θ[1:]‖₁=0.729, h_range=[1.00e-08, 2.83e+01], num_knots=74
2025-09-01 00:02:55,556 - Iter 6700: obj=-117.089973, change=3.18e-06, α=0.000, ‖θ[1:]‖₁=0.729, h_range=[1.00e-08, 2.83e+01], num_knots=73
2025-09-01 00:02:56,593 - Iter 6800: obj=-117.108419, change=3.16e-06, α=0.000, ‖θ[1:]‖₁=0.729, h_range=[1.00e-08, 2.83e+01], num_knots=73
2025-09-01 00:02:57,572 - Iter 6900: obj=-117.125788, change=3.11e-06, α=0.000, ‖θ[1:]‖₁=0.730, h_range=[1.00e-08, 2.83e+01], num_knots=71
2025-09-01 00:02:58,523 - Iter 7000: obj=-117.142737, change=3.09e-06, α=0.000, ‖θ[1:]‖₁=0.730, h_range=[1.00e-08, 2.83e+01], num_knots=71
2025-09-01 00:02:59,433 - Iter 7100: obj=-117.159655, change=3.08e-06, α=0.000, ‖θ[1:]‖₁=0.730, h_range=[1.00e-08, 2.83e+01], num_knots=71
2025-09-01 00:03:00,397 - Iter 7200: obj=-117.176549, change=3.07e-06, α=0.000, ‖θ[1:]‖₁=0.730, h_range=[1.00e-08, 2.83e+01], num_knots=71
2025-09-01 00:03:01,401 - Iter 7300: obj=-117.193419, change=3.07e-06, α=0.000, ‖θ[1:]‖₁=0.730, h_range=[1.00e-08, 2.83e+01], num_knots=71
