2025-09-01 15:32:16,884 - ProximalAdaGrad: lam=0.075, alpha=0.0001, eps=1e-08, rho=1.0, n_grid=200, basis_order=2, n_samples=3200, K=3203
2025-09-01 15:32:20,921 - Iter 330: obj=-512.202725, change=5.23e-04, α=0.000, ‖θ[1:]‖₁=112.034, h_range=[1.00e-08, 1.35e+01], num_knots=3091
2025-09-01 15:32:21,012 - Iter 340: obj=-514.356627, change=5.10e-04, α=0.000, ‖θ[1:]‖₁=113.855, h_range=[1.00e-08, 1.35e+01], num_knots=3090
2025-09-01 15:32:21,118 - Iter 350: obj=-516.410346, change=4.96e-04, α=0.000, ‖θ[1:]‖₁=115.621, h_range=[1.00e-08, 1.35e+01], num_knots=3089
2025-09-01 15:32:21,237 - Iter 360: obj=-518.369809, change=4.83e-04, α=0.000, ‖θ[1:]‖₁=117.336, h_range=[1.00e-08, 1.35e+01], num_knots=3090
2025-09-01 15:32:21,344 - Iter 370: obj=-520.241410, change=4.71e-04, α=0.000, ‖θ[1:]‖₁=118.999, h_range=[1.00e-08, 1.35e+01], num_knots=3090
2025-09-01 15:32:21,461 - Iter 380: obj=-522.030576, change=4.58e-04, α=0.000, ‖θ[1:]‖₁=120.612, h_range=[1.00e-08, 1.35e+01], num_knots=3089
2025-09-01 15:32:21,565 - Iter 390: obj=-523.742346, change=4.47e-04, α=0.000, ‖θ[1:]‖₁=122.176, h_range=[1.00e-08, 1.35e+01], num_knots=3090
2025-09-01 15:32:21,672 - Iter 400: obj=-525.381394, change=4.43e-04, α=0.000, ‖θ[1:]‖₁=123.694, h_range=[1.00e-08, 1.34e+01], num_knots=3090
2025-09-01 15:32:21,797 - Iter 410: obj=-526.952324, change=4.39e-04, α=0.000, ‖θ[1:]‖₁=125.168, h_range=[1.00e-08, 1.34e+01], num_knots=3089
2025-09-01 15:32:21,912 - Iter 420: obj=-528.459336, change=4.35e-04, α=0.000, ‖θ[1:]‖₁=126.600, h_range=[1.00e-08, 1.34e+01], num_knots=3088
2025-09-01 15:32:22,029 - Iter 430: obj=-529.906406, change=4.31e-04, α=0.000, ‖θ[1:]‖₁=127.990, h_range=[1.00e-08, 1.34e+01], num_knots=3087
2025-09-01 15:32:22,137 - Iter 440: obj=-531.297054, change=4.27e-04, α=0.000, ‖θ[1:]‖₁=129.340, h_range=[1.00e-08, 1.34e+01], num_knots=3087
2025-09-01 15:32:22,246 - Iter 450: obj=-532.634990, change=4.23e-04, α=0.000, ‖θ[1:]‖₁=130.649, h_range=[1.00e-08, 1.34e+01], num_knots=3086
2025-09-01 15:32:22,375 - Iter 460: obj=-533.923353, change=4.20e-04, α=0.000, ‖θ[1:]‖₁=131.920, h_range=[1.00e-08, 1.34e+01], num_knots=3087
2025-09-01 15:32:22,472 - Iter 470: obj=-535.165191, change=4.16e-04, α=0.000, ‖θ[1:]‖₁=133.154, h_range=[1.00e-08, 1.34e+01], num_knots=3087
2025-09-01 15:32:22,590 - Iter 480: obj=-536.363351, change=4.13e-04, α=0.000, ‖θ[1:]‖₁=134.351, h_range=[1.00e-08, 1.34e+01], num_knots=3086
2025-09-01 15:32:22,707 - Iter 490: obj=-537.520375, change=4.09e-04, α=0.000, ‖θ[1:]‖₁=135.512, h_range=[1.00e-08, 1.34e+01], num_knots=3087
2025-09-01 15:32:22,833 - Iter 500: obj=-538.638543, change=4.06e-04, α=0.000, ‖θ[1:]‖₁=136.644, h_range=[1.00e-08, 1.34e+01], num_knots=3085
