2025-08-31 19:18:16,492 - Iter 4600: loss=-65.0772, change=4.41e-06, ‖θ[1:]‖₁=1.485, num_selected_knots=30
2025-08-31 19:18:17,333 - Iter 4700: loss=-65.0883, change=7.45e-06, ‖θ[1:]‖₁=1.486, num_selected_knots=29
2025-08-31 19:18:18,221 - Iter 4800: loss=-65.0977, change=4.67e-06, ‖θ[1:]‖₁=1.487, num_selected_knots=29
2025-08-31 19:18:19,143 - Iter 4900: loss=-65.0895, change=4.22e-06, ‖θ[1:]‖₁=1.486, num_selected_knots=30
2025-08-31 19:18:20,128 - Iter 5000: loss=-65.0882, change=5.91e-06, ‖θ[1:]‖₁=1.486, num_selected_knots=29
2025-08-31 19:18:21,068 - Iter 5100: loss=-65.0787, change=4.95e-06, ‖θ[1:]‖₁=1.486, num_selected_knots=28
2025-08-31 19:18:21,970 - Iter 5200: loss=-65.0655, change=3.28e-06, ‖θ[1:]‖₁=1.485, num_selected_knots=29
2025-08-31 19:18:22,832 - Iter 5300: loss=-65.0622, change=4.23e-06, ‖θ[1:]‖₁=1.484, num_selected_knots=28
2025-08-31 19:18:23,692 - Iter 5400: loss=-65.0679, change=4.15e-06, ‖θ[1:]‖₁=1.485, num_selected_knots=29
2025-08-31 19:18:24,537 - Iter 5500: loss=-65.0741, change=4.37e-06, ‖θ[1:]‖₁=1.485, num_selected_knots=28
2025-08-31 19:18:25,359 - Iter 5600: loss=-65.0805, change=4.52e-06, ‖θ[1:]‖₁=1.486, num_selected_knots=27
2025-08-31 19:18:26,484 - Iter 5700: loss=-65.0880, change=2.63e-06, ‖θ[1:]‖₁=1.486, num_selected_knots=29
2025-08-31 19:18:27,317 - Iter 5800: loss=-65.0898, change=3.32e-06, ‖θ[1:]‖₁=1.486, num_selected_knots=29
2025-08-31 19:18:28,183 - Iter 5900: loss=-65.0860, change=4.79e-06, ‖θ[1:]‖₁=1.486, num_selected_knots=30
2025-08-31 19:18:29,020 - Iter 6000: loss=-65.0823, change=4.23e-06, ‖θ[1:]‖₁=1.486, num_selected_knots=30
2025-08-31 19:18:29,858 - Iter 6100: loss=-65.0823, change=3.38e-06, ‖θ[1:]‖₁=1.486, num_selected_knots=30
2025-08-31 19:18:30,709 - Iter 6200: loss=-65.0779, change=2.65e-06, ‖θ[1:]‖₁=1.485, num_selected_knots=29
2025-08-31 19:18:31,553 - Iter 6300: loss=-65.0756, change=2.36e-06, ‖θ[1:]‖₁=1.485, num_selected_knots=29
2025-08-31 19:18:32,376 - Iter 6400: loss=-65.0737, change=3.09e-06, ‖θ[1:]‖₁=1.485, num_selected_knots=28
2025-08-31 19:18:33,198 - Iter 6500: loss=-65.0762, change=4.47e-06, ‖θ[1:]‖₁=1.485, num_selected_knots=27
2025-08-31 19:18:34,039 - Iter 6600: loss=-65.0760, change=4.22e-06, ‖θ[1:]‖₁=1.485, num_selected_knots=28
2025-08-31 19:18:34,862 - Iter 6700: loss=-65.0740, change=3.25e-06, ‖θ[1:]‖₁=1.485, num_selected_knots=30
2025-08-31 19:18:35,733 - Iter 6800: loss=-65.0715, change=3.02e-06, ‖θ[1:]‖₁=1.485, num_selected_knots=30
2025-08-31 19:18:36,743 - Iter 6900: loss=-65.0741, change=3.46e-06, ‖θ[1:]‖₁=1.485, num_selected_knots=29
2025-08-31 19:18:37,629 - Iter 7000: loss=-65.0800, change=3.58e-06, ‖θ[1:]‖₁=1.486, num_selected_knots=29
2025-08-31 19:18:38,480 - Iter 7100: loss=-65.0849, change=3.43e-06, ‖θ[1:]‖₁=1.486, num_selected_knots=30
2025-08-31 19:18:39,336 - Iter 7200: loss=-65.0849, change=3.15e-06, ‖θ[1:]‖₁=1.486, num_selected_knots=29
2025-08-31 19:18:40,189 - Iter 7300: loss=-65.0809, change=2.24e-06, ‖θ[1:]‖₁=1.486, num_selected_knots=28
2025-08-31 19:18:41,065 - Iter 7400: loss=-65.0771, change=2.95e-06, ‖θ[1:]‖₁=1.485, num_selected_knots=29
2025-08-31 19:18:41,932 - Iter 7500: loss=-65.0786, change=4.23e-06, ‖θ[1:]‖₁=1.485, num_selected_knots=28
