2025-09-06 12:57:02,749 - ProximalAdaGrad: lam=30, alpha=1e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=0, n_samples=3200, K=3201
2025-09-06 12:57:06,332 - Iter 330: obj=-1000.206841, change=9.60e-04, α=0.000, ‖θ[1:]‖₁=11.041, h_range=[6.17e+00, 2.83e+01], num_knots=2182
2025-09-06 12:57:06,452 - Iter 340: obj=-1002.175123, change=9.15e-04, α=0.000, ‖θ[1:]‖₁=11.081, h_range=[6.15e+00, 2.83e+01], num_knots=2170
2025-09-06 12:57:06,528 - Iter 350: obj=-1004.048940, change=8.79e-04, α=0.000, ‖θ[1:]‖₁=11.121, h_range=[6.12e+00, 2.83e+01], num_knots=2155
2025-09-06 12:57:06,606 - Iter 360: obj=-1005.836721, change=8.70e-04, α=0.000, ‖θ[1:]‖₁=11.158, h_range=[6.10e+00, 2.83e+01], num_knots=2141
2025-09-06 12:57:06,688 - Iter 370: obj=-1007.540156, change=8.38e-04, α=0.000, ‖θ[1:]‖₁=11.194, h_range=[6.08e+00, 2.83e+01], num_knots=2123
2025-09-06 12:57:06,838 - Iter 380: obj=-1009.167609, change=7.94e-04, α=0.000, ‖θ[1:]‖₁=11.229, h_range=[6.05e+00, 2.83e+01], num_knots=2113
2025-09-06 12:57:07,031 - Iter 390: obj=-1010.726861, change=7.76e-04, α=0.000, ‖θ[1:]‖₁=11.263, h_range=[6.03e+00, 2.83e+01], num_knots=2099
2025-09-06 12:57:07,156 - Iter 400: obj=-1012.217873, change=7.50e-04, α=0.000, ‖θ[1:]‖₁=11.295, h_range=[6.01e+00, 2.83e+01], num_knots=2085
2025-09-06 12:57:07,288 - Iter 410: obj=-1013.652668, change=7.09e-04, α=0.000, ‖θ[1:]‖₁=11.326, h_range=[6.00e+00, 2.83e+01], num_knots=2073
2025-09-06 12:57:07,368 - Iter 420: obj=-1015.030186, change=6.97e-04, α=0.000, ‖θ[1:]‖₁=11.356, h_range=[5.98e+00, 2.83e+01], num_knots=2061
2025-09-06 12:57:07,463 - Iter 430: obj=-1016.357699, change=6.64e-04, α=0.000, ‖θ[1:]‖₁=11.386, h_range=[5.96e+00, 2.83e+01], num_knots=2047
2025-09-06 12:57:07,556 - Iter 440: obj=-1017.633585, change=6.55e-04, α=0.000, ‖θ[1:]‖₁=11.414, h_range=[5.94e+00, 2.83e+01], num_knots=2039
2025-09-06 12:57:07,648 - Iter 450: obj=-1018.868133, change=6.26e-04, α=0.000, ‖θ[1:]‖₁=11.441, h_range=[5.93e+00, 2.83e+01], num_knots=2030
2025-09-06 12:57:07,734 - Iter 460: obj=-1020.058261, change=5.97e-04, α=0.000, ‖θ[1:]‖₁=11.468, h_range=[5.91e+00, 2.83e+01], num_knots=2016
2025-09-06 12:57:07,823 - Iter 470: obj=-1021.208294, change=5.86e-04, α=0.000, ‖θ[1:]‖₁=11.494, h_range=[5.90e+00, 2.83e+01], num_knots=2011
2025-09-06 12:57:07,905 - Iter 480: obj=-1022.325543, change=5.70e-04, α=0.000, ‖θ[1:]‖₁=11.519, h_range=[5.88e+00, 2.83e+01], num_knots=2000
