DGP,Sample Size,Num Simulations,Median Max Deviation,Mean Max Deviation,Std Max Deviation,25th Percentile,75th Percentile
Sinusoidal,25,1000,0.44908286380459456,0.6971776776989344,1.0287160145166097,0.3670622837081863,0.6577330346632494
Sinusoidal,50,1000,0.40532791005574476,0.5724765800679188,0.6259469005259186,0.3668302132576682,0.5474724085171303
Sinusoidal,100,1000,0.3670990644478579,0.450205917484323,0.6753154824297848,0.2836634504419082,0.4461378028013672
Sinusoidal,200,1000,0.299294288358211,0.3409643819578149,0.37251295969929565,0.19752809851547792,0.38459694439857284
Sinusoidal,400,1000,0.21149827314400765,0.23475474010377032,0.14754820418453227,0.14588616574772265,0.2902871521381035
Sinusoidal,800,1000,0.15958867265013743,0.1850162655162356,0.15964758245892868,0.10756469161818313,0.2265940544412643
Sinusoidal,1600,1000,0.11302763547981881,0.12950139573284192,0.07564258644021236,0.08065711004877152,0.16031024032774255
Sinusoidal,3200,1000,0.0812717633415882,0.09341713410994953,0.05361360003641655,0.057029524403239856,0.11847561691924646
StepFunction,25,1000,0.41164975786162505,0.6952419788428165,0.7938144061947716,0.35608384465715814,0.6335980710024344
StepFunction,50,1000,0.4040001027162448,0.589607640347655,0.6165206371763344,0.3379483439492931,0.5433591621412707
StepFunction,100,1000,0.3834066840031839,0.5147638841434199,0.6767702041774851,0.3295464465862781,0.4879406820015454
StepFunction,200,1000,0.35740311586110124,0.43438259583574085,0.3080312791556786,0.31740153424733186,0.4534267796514133
StepFunction,400,1000,0.3478572633889609,0.3862418342050636,0.14306930003098722,0.30940843839296905,0.4228864276792199
StepFunction,800,1000,0.3308544488711803,0.3498357702899308,0.10964800830558165,0.2984746323510912,0.39317156849890067
StepFunction,1600,1000,0.3152593645108287,0.32925587392360883,0.10418493108480942,0.28491248189628227,0.3652539239748063
StepFunction,3200,1000,0.30623030321248007,0.3290980078128545,0.12637187430479235,0.2776898516094699,0.3649934267432289
TruncatedNormal,25,1000,1.0178889551445651,1.3797487990836885,1.302340467234505,0.6243968642842253,1.6763342933460788
TruncatedNormal,50,1000,0.740511030361384,0.998557445583117,0.872549344889796,0.44201367349137755,1.240349610071667
TruncatedNormal,100,1000,0.4927355270660241,0.6905238941928217,0.6552992755720691,0.3140419515526318,0.8374295086277053
TruncatedNormal,200,1000,0.37141566002484727,0.49310653542578065,0.4238454735023522,0.22907118646577307,0.6028083263809982
TruncatedNormal,400,1000,0.2566552301672893,0.3538519328603227,0.29483291488308366,0.16088233753944203,0.44432660357662634
TruncatedNormal,800,1000,0.1854452540555065,0.252498526109102,0.21275907795047322,0.11235404260183074,0.31626724408708584
TruncatedNormal,1600,1000,0.12618423172567605,0.17335804805539953,0.14259531016318286,0.08148139866439308,0.2107213939295286
